# Resource Map

This file summarizes approved SourceBrief context artifacts. Use it to decide what evidence to request, not as a replacement for evidence retrieval.

Pack selector: `launch-proof-212` v`1`

## Approved artifacts in this pack

| Resource | Type | Title | Status | Citations | Hash |
| --- | --- | --- | --- | --- | --- |
| SourceBrief repository launch import | resource_map | Resource Map · SourceBrief repository launch import | approved | 2203 | sha256:f08580d18d6b |

## Citation locator inventory

Use these as drilldown hints with `sourcebrief.search`, `sourcebrief.read_section`, `sourcebrief.get_resource_map`, or stable `sourcebrief.get_agent_context`.

| Resource | Path | Title | Start | End | Citation ref |
| --- | --- | --- | --- | --- | --- |
| SourceBrief repository launch import | AGENTS.md | SourceBrief Agent Development Guide | 1 | 4 | 22b751b5-989 |
| SourceBrief repository launch import | AGENTS.md | Product bar | 5 | 16 | 6cc68b82-008 |
| SourceBrief repository launch import | AGENTS.md | Required development workflow | 17 | 32 | a2d4cdbc-a91 |
| SourceBrief repository launch import | AGENTS.md | Claude Code usage | 33 | 56 | 8d5f0823-131 |
| SourceBrief repository launch import | AGENTS.md | Hermes adversarial review | 57 | 72 | 5722bd0c-5de |
| SourceBrief repository launch import | AGENTS.md | Verification gates | 73 | 133 | d704b9cb-41c |
| SourceBrief repository launch import | AGENTS.md | No-mock policy | 134 | 146 | 1ed61231-1b9 |
| SourceBrief repository launch import | AGENTS.md | GitHub and PR operations | 147 | 187 | 6421d666-f84 |
| SourceBrief repository launch import | AGENTS.md | SourceBrief repo conventions | 188 | 212 | 8045e995-c5f |
| SourceBrief repository launch import | AGENTS.md | Frontend product standards | 213 | 233 | 1464c331-aae |
| SourceBrief repository launch import | AGENTS.md | Operational boundaries | 234 | 247 | eba9b315-f90 |
| SourceBrief repository launch import | AGENTS.md | Communication style | 248 | 258 | ee7c200b-2ae |
| SourceBrief repository launch import | apps/api/sourcebrief_api/auth.py | Lines 1-120 | 1 | 120 | 4c425515-78f |
| SourceBrief repository launch import | apps/api/sourcebrief_api/auth.py | Lines 121-203 | 121 | 203 | d9501aa6-f7d |
| SourceBrief repository launch import | apps/api/sourcebrief_api/constants.py | Lines 1-38 | 1 | 38 | 5b05fbd7-1ea |
| SourceBrief repository launch import | apps/api/sourcebrief_api/context_packs.py | Lines 1-120 | 1 | 120 | a35afbac-052 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/context_packs.py | Lines 121-229 | 121 | 229 | 975194b4-66b |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_merges.py | Lines 1-120 | 1 | 120 | 709887db-eae |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_merges.py | Lines 121-240 | 121 | 240 | 32e803d6-de2 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_merges.py | Lines 241-360 | 241 | 360 | 4c0ea61a-278 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_merges.py | Lines 361-480 | 361 | 480 | 3385e8e8-260 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_merges.py | Lines 481-494 | 481 | 494 | 30b333f9-093 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_versions.py | Lines 1-120 | 1 | 120 | 1be80816-d69 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/graph_versions.py | Lines 121-236 | 121 | 236 | 13b0478f-2fd |
| SourceBrief repository launch import | apps/api/sourcebrief_api/remote_code.py | Lines 1-120 | 1 | 120 | e1aef128-3d2 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/remote_code.py | Lines 121-191 | 121 | 191 | 0b0f868e-59e |
| SourceBrief repository launch import | apps/api/sourcebrief_api/repo_agents.py | Lines 1-120 | 1 | 120 | 8e3bed35-42e |
| SourceBrief repository launch import | apps/api/sourcebrief_api/repo_agents.py | Lines 121-240 | 121 | 240 | 9a95e742-bbf |
| SourceBrief repository launch import | apps/api/sourcebrief_api/repo_agents.py | Lines 241-247 | 241 | 247 | 9fe1ff68-c77 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/resource_map.py | Lines 1-120 | 1 | 120 | 16caaeb5-fd3 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/resource_map.py | Lines 121-240 | 121 | 240 | ecf75b16-a3b |
| SourceBrief repository launch import | apps/api/sourcebrief_api/resource_map.py | Lines 241-278 | 241 | 278 | 522b136b-949 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 1-120 | 1 | 120 | 76774a88-f3c |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 121-240 | 121 | 240 | 5b5f455d-165 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 241-360 | 241 | 360 | 125ed93c-f46 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 361-480 | 361 | 480 | b2f1eaf4-dfb |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 481-600 | 481 | 600 | bb6cd7ae-16f |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 601-720 | 601 | 720 | 5257be46-122 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/retrieval.py | Lines 721-821 | 721 | 821 | 254d6a98-8b7 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/routers/__init__.py | Lines 1-1 | 1 | 1 | d15638e1-b01 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/routers/system.py | Lines 1-32 | 1 | 32 | fb4c5af7-a26 |
| SourceBrief repository launch import | apps/api/sourcebrief_api/schemas.py | Lines 1-120 | 1 | 120 | c76e7205-0a1 |
